,x,y
688,43901.1,43740.0
689,43883.36,43732.5
690,43980.0,43837.01
691,44046.76,43915.56
692,44259.29,43960.31
693,44160.0,44034.3
694,44097.29,43963.89
695,44089.1,43960.0
696,44056.2,43833.4
697,44034.92,43930.27
698,43980.01,43904.18
699,43985.9,43885.24
700,44035.9,43976.4
701,44067.84,43951.72
702,43985.88,43843.52
703,44088.01,43858.0
704,44041.1,43956.62
705,44055.27,43991.1
706,44100.0,44026.01
707,44146.0,44067.29
708,44167.81,44000.0
709,44065.0,43967.09
710,43997.08,43880.65
711,43996.0,43906.91
712,43976.0,43921.1
713,44083.33,43959.1
714,44118.19,44039.82
715,44091.1,43969.62
716,44139.43,44047.99
717,44399.99,44082.66
718,44449.98,44252.8
719,44480.59,44280.57
720,44427.98,44277.12
721,44431.1,44145.02
722,44241.58,43945.15
723,44182.11,43986.0
724,44185.0,43857.14
725,44039.07,43700.0
726,44110.15,43941.03
727,44166.0,44035.25
728,44176.04,44099.96
729,44160.97,44041.27
730,44262.53,44120.32
731,44269.92,44160.0
732,44204.66,44120.0
733,44249.0,44110.45
734,44243.2,44127.32
735,44231.54,43936.66
736,43978.46,43778.13
737,44024.99,43731.25
738,43929.02,43572.09
739,43986.0,43740.74
740,43841.1,43625.18
741,43809.18,43610.25
742,43800.03,43665.31
743,43800.07,43534.78
744,43668.14,43175.0
745,43442.42,43225.0
746,43568.85,43257.29
747,43598.0,43430.79
748,43610.68,43500.0
749,43648.02,43475.0
750,43650.0,43491.09
751,44341.8,43584.87
752,44162.11,43816.46
753,44074.99,43872.95
754,43995.98,43784.86
755,44069.41,43924.47
756,44033.48,43851.1
757,43920.14,43820.89
758,43881.23,43641.73
759,44019.5,43689.26
760,44128.19,43955.15
761,44199.0,43950.0
762,44688.0,44154.28
763,45200.0,44350.0
764,45120.05,44518.15
765,45179.14,44948.83
766,45108.38,44807.56
767,45031.31,44832.0
768,45090.0,44724.37
769,44874.14,44667.22
770,45333.0,44700.0
771,45171.42,44925.98
772,45075.53,44793.97
773,45342.86,44903.86
774,45668.88,45229.49
775,46139.13,45648.0
776,46995.0,45976.0
777,47248.99,46540.01
778,47047.48,46643.06
779,47038.45,46800.0
780,47143.15,46709.92
781,46942.29,46653.84
782,47207.16,46859.31
783,47120.0,46812.0
784,47000.0,46799.18
785,47100.0,46876.95
786,46968.58,46833.88
787,47150.0,46850.0
788,46927.97,46230.0
789,46786.83,46492.0
790,46571.1,46288.0
791,46719.39,46483.83
792,46785.22,46648.0
793,46974.42,46750.92
794,46966.0,46818.16
795,46940.0,46670.91
796,46849.88,46706.49
797,46858.0,46666.78
798,46750.64,46599.43
799,46838.4,46665.84
800,46824.0,46680.45
801,46931.7,46735.18
802,46911.02,46788.0
803,46874.94,46700.0
804,46847.16,46510.0
805,46694.61,46407.9
806,46666.3,46461.0
807,46680.0,46461.24
808,46650.0,46381.1
809,46612.41,46426.2
810,46644.0,46450.0
